country_name,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Cambodia,0.399,0.253,0.623,0.74,0.713,0.617,0.77,0.749,0.628,0.467,0.442,1.212,0.394,0.863,1.014,0.623,1.108,1.484,1.091,0.759,1.513
Cameroon,0.803,0.533,0.322,0.845,0.979,0.907,1.117,1.082,0.746,0.712,1.194,1.251,0.72,0.56,0.775,0.885,1.125,1.17,1.101,1.03,1.446
Canada,1.711,1.309,1.438,0.559,1.258,0.506,1.302,2.359,1.345,0.868,0.551,2.928,1.457,2.165,1.203,0.298,1.222,2.376,1.481,0.491,1.32
Cayman Islands,0.453,Unknown,Unknown,Unknown,Unknown,Unknown,0.649,0.585,0.737,0.544,0.448,0.65,0.336,0.404,0.559,0.767,1.008,0.946,0.918,0.639,1.348
Central African Rep.,0.583,0.771,0.468,0.854,0.93,1.057,1.071,0.998,0.559,0.66,1.153,1.137,0.774,0.494,0.825,0.682,0.984,1.217,1.171,1.179,1.262
Chad,0.563,0.335,0.247,0.725,0.802,0.827,1.162,1.337,0.552,0.417,1.212,1.217,0.971,0.537,0.99,0.831,1.332,0.895,0.966,1.551,1.433
Chile,0.284,-0.167,0.059,0.154,0.302,0.505,0.196,0.529,-0.287,0.425,0.441,-0.041,0.166,0.671,0.423,0.467,0.72,0.879,0.715,0.382,0.51
"China, P.R.: Hong Kong",0.898,0.226,0.781,0.89,0.921,0.632,0.707,0.888,1.0,0.401,0.939,0.431,0.395,0.58,0.818,0.725,1.221,0.819,1.389,1.234,1.827
"China, P.R.: Macao",0.898,0.226,0.781,0.89,0.921,0.632,0.707,0.888,1.0,0.401,0.939,0.431,0.395,0.58,0.818,0.725,1.221,0.819,1.389,1.234,1.827
"China, P.R.: Mainland",1.212,0.554,1.02,1.113,0.8,1.085,1.022,1.205,1.511,1.063,1.311,0.942,0.764,0.596,1.05,1.044,1.279,1.305,1.566,1.35,1.413
Colombia,-0.04,-0.078,0.378,0.616,0.642,0.532,0.645,0.511,0.575,0.272,0.753,0.916,0.348,0.559,0.693,0.69,1.131,0.971,0.656,0.995,1.25
"Comoros, Union of the",0.197,0.163,0.312,0.767,0.444,0.368,0.463,0.269,0.602,0.234,0.493,0.734,0.37,0.334,0.223,0.312,0.529,0.504,0.754,0.509,1.1
"Congo, Dem. Rep. of the",0.446,0.532,0.515,0.987,0.985,0.974,1.008,0.824,0.799,0.675,0.9,1.326,0.827,0.485,1.1,1.093,1.204,1.681,1.395,1.545,1.633
"Congo, Rep. of",0.684,0.477,0.448,0.845,0.892,0.92,0.891,0.814,0.918,0.843,0.877,1.304,0.659,0.663,0.888,0.836,1.208,1.584,1.183,1.276,1.46
Cook Islands,1.264,0.914,0.983,0.874,0.813,0.868,0.755,0.954,0.984,0.848,0.687,1.185,1.04,0.781,1.008,0.798,0.209,0.95,1.401,1.138,1.119
Costa Rica,-0.477,-0.297,0.361,0.637,0.597,0.527,0.337,0.522,0.491,0.084,0.782,0.714,0.288,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
"Croatia, Rep. of",0.706,1.623,1.596,1.266,1.287,0.68,0.307,0.735,1.995,1.468,1.51,0.878,1.269,1.857,1.282,2.044,1.933,1.843,1.562,2.321,2.117
Cuba,0.718,0.535,0.515,0.835,0.88,0.611,0.576,0.728,0.713,0.423,0.777,0.469,0.316,0.39,0.661,0.859,1.114,1.156,1.284,1.111,1.572
Cyprus,1.05,0.589,1.119,0.811,0.564,0.603,0.329,0.615,0.804,1.021,0.973,1.981,0.692,0.949,1.221,1.066,1.184,1.561,0.844,2.183,1.589
Czech Rep.,1.1,1.902,1.219,1.523,1.074,0.814,0.742,0.948,2.161,1.635,1.413,0.396,1.029,1.57,0.77,2.494,2.112,2.067,1.585,2.641,2.533
Denmark,1.337,1.722,1.048,1.658,0.712,1.036,1.284,1.352,2.136,1.858,1.324,-0.195,0.684,1.145,0.401,2.681,1.523,1.856,1.624,2.115,2.185
Djibouti,0.425,0.845,0.802,1.375,1.458,0.952,1.217,0.901,0.877,0.314,1.418,1.047,0.916,Unknown,1.293,1.178,1.696,1.496,1.77,1.199,1.351
Dominica,0.525,0.35,0.544,0.695,0.92,0.557,0.862,0.732,0.877,0.405,0.552,1.23,0.633,0.744,0.753,0.739,0.982,1.141,0.905,0.646,0.766
Dominican Rep.,0.962,0.597,0.954,0.971,1.175,0.761,1.0,0.942,1.193,0.622,0.738,1.269,0.629,0.83,1.059,1.039,1.349,1.397,1.108,1.274,1.246
Ecuador,0.161,0.19,0.398,0.669,0.698,0.668,0.657,0.624,0.641,0.516,0.843,0.678,0.471,0.474,0.246,0.873,1.335,1.268,0.87,0.844,1.06
"Egypt, Arab Rep. of",0.734,-0.036,0.59,0.766,0.68,0.586,0.466,0.679,0.556,0.879,0.865,2.268,0.553,0.871,0.981,1.177,1.124,1.507,0.539,1.987,0.975
El Salvador,0.433,0.265,0.57,0.948,1.09,0.869,0.706,0.672,0.675,0.44,1.011,0.688,0.678,0.806,0.792,0.794,1.416,1.381,0.833,0.853,1.034
"Equatorial Guinea, Rep. of",0.611,0.449,0.435,0.727,0.994,0.849,0.87,0.73,0.906,0.775,0.891,0.996,0.662,0.599,0.757,0.823,0.801,1.371,1.184,0.571,1.452
"Eritrea, The State of",0.881,0.614,0.547,1.129,0.711,1.173,0.835,0.972,0.28,1.127,1.784,1.642,1.415,1.439,1.191,0.902,1.771,1.028,1.349,0.908,0.872
"Estonia, Rep. of",1.502,2.043,1.82,1.466,0.218,1.159,1.579,1.237,2.24,2.582,1.597,0.52,1.276,1.442,1.157,2.403,2.344,1.895,1.474,2.381,2.183
"Eswatini, Kingdom of",0.492,-0.073,0.55,0.693,0.794,0.65,0.93,0.055,0.801,0.437,0.266,1.074,1.067,0.464,0.421,0.561,0.879,1.207,0.625,1.108,1.591
